,params,n_rows,n_na,n_0and1,n_0,n_1,pct_1
0,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.3
risk_factor        1.0
reward_factor      1.0
Name: 0, dtype: float64",27729,4376,23353,16450,6903,29.6
1,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.3
risk_factor        1.0
reward_factor      1.1
Name: 1, dtype: float64",27729,4308,23421,16944,6477,27.7
2,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.3
risk_factor        1.0
reward_factor      1.2
Name: 2, dtype: float64",27729,4264,23465,17297,6168,26.3
3,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.4
risk_factor        1.0
reward_factor      1.0
Name: 3, dtype: float64",27729,5639,22090,15410,6680,30.2
4,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.4
risk_factor        1.0
reward_factor      1.1
Name: 4, dtype: float64",27729,5565,22164,15895,6269,28.3
5,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.4
risk_factor        1.0
reward_factor      1.2
Name: 5, dtype: float64",27729,5506,22223,16300,5923,26.7
6,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.5
risk_factor        1.0
reward_factor      1.0
Name: 6, dtype: float64",27729,6923,20806,14394,6412,30.8
7,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.5
risk_factor        1.0
reward_factor      1.1
Name: 7, dtype: float64",27729,6834,20895,14882,6013,28.8
8,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.5
risk_factor        1.0
reward_factor      1.2
Name: 8, dtype: float64",27729,6781,20948,15283,5665,27.0
9,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    1.0
risk_factor        1.0
reward_factor      1.0
Name: 9, dtype: float64",27729,12837,14892,9550,5342,35.9
10,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    1.0
risk_factor        1.0
reward_factor      1.1
Name: 10, dtype: float64",27729,12667,15062,10148,4914,32.6
11,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    1.0
risk_factor        1.0
reward_factor      1.2
Name: 11, dtype: float64",27729,12557,15172,10564,4608,30.4
12,"lookahead_hours    5.0
atr_factor         0.4
entrance_factor    0.3
risk_factor        1.0
reward_factor      1.0
Name: 12, dtype: float64",27729,5357,22372,14707,7665,34.3
13,"lookahead_hours    5.0
atr_factor         0.4
entrance_factor    0.3
risk_factor        1.0
reward_factor      1.1
Name: 13, dtype: float64",27729,5331,22398,15145,7253,32.4
