,params,n_rows,n_na,n_0and1,n_0,n_1,pct_1
0,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.6
risk_factor        1.0
reward_factor      1.0
Name: 0, dtype: float64",27729,8160,19569,13345,6224,31.8
1,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.8
risk_factor        1.0
reward_factor      1.0
Name: 1, dtype: float64",27729,10615,17114,11370,5744,33.6
2,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    0.9
risk_factor        1.0
reward_factor      1.0
Name: 2, dtype: float64",27729,11724,16005,10448,5557,34.7
3,"lookahead_hours    5.0
atr_factor         0.3
entrance_factor    1.0
risk_factor        1.0
reward_factor      1.0
Name: 3, dtype: float64",27729,12837,14892,9550,5342,35.9
4,"lookahead_hours    5.0
atr_factor         0.4
entrance_factor    0.6
risk_factor        1.0
reward_factor      1.0
Name: 4, dtype: float64",27729,10205,17524,11167,6357,36.3
5,"lookahead_hours    5.0
atr_factor         0.4
entrance_factor    0.8
risk_factor        1.0
reward_factor      1.0
Name: 5, dtype: float64",27729,12998,14731,9199,5532,37.6
6,"lookahead_hours    5.0
atr_factor         0.4
entrance_factor    0.9
risk_factor        1.0
reward_factor      1.0
Name: 6, dtype: float64",27729,14254,13475,8280,5195,38.6
7,"lookahead_hours    5.0
atr_factor         0.4
entrance_factor    1.0
risk_factor        1.0
reward_factor      1.0
Name: 7, dtype: float64",27729,15466,12263,7465,4798,39.1
8,"lookahead_hours    5.0
atr_factor         0.5
entrance_factor    0.6
risk_factor        1.0
reward_factor      1.0
Name: 8, dtype: float64",27729,12230,15499,9548,5951,38.4
9,"lookahead_hours    5.0
atr_factor         0.5
entrance_factor    0.8
risk_factor        1.0
reward_factor      1.0
Name: 9, dtype: float64",27729,15296,12433,7514,4919,39.6
10,"lookahead_hours    5.0
atr_factor         0.5
entrance_factor    0.9
risk_factor        1.0
reward_factor      1.0
Name: 10, dtype: float64",27729,16615,11114,6648,4466,40.2
11,"lookahead_hours    5.0
atr_factor         0.5
entrance_factor    1.0
risk_factor        1.0
reward_factor      1.0
Name: 11, dtype: float64",27729,17829,9900,5842,4058,41.0
