curr1,curr2,Name,LongName,LotSize,Close_column_num
AUD,CAD,AUDCAD,Australian dollar vs Canadian dollar," 100,000 ",3
AUD,CHF,AUDCHF,Australian dollar vs Swiss franc," 100,000 ",7
AUD,JPY,AUDJPY,Australian dollar vs Japanese Yen," 1,000 ",11
AUD,NZD,AUDNZD,Australian dollar vs New Zealand dollar," 100,000 ",15
AUD,USD,AUDUSD,Australian dollar vs Dollar," 100,000 ",19
CAD,CHF,CADCHF,Canadian dollar vs Swiss franc," 100,000 ",23
CAD,JPY,CADJPY,Canadian dollar vs Japanese Yen," 1,000 ",27
CHF,JPY,CHFJPY,Swiss franc vs Japanese Yen," 1,000 ",31
EUR,AUD,EURAUD,Euro vs Australian dollar," 100,000 ",35
EUR,CAD,EURCAD,Euro vs Canadian dollar," 100,000 ",39
EUR,CHF,EURCHF,Euro vs Swiss franc," 100,000 ",43
EUR,GBP,EURGBP,Euro vs Pound," 100,000 ",47
EUR,JPY,EURJPY,Euro vs Japanese Yen," 1,000 ",51
EUR,NZD,EURNZD,Euro vs New Zealand dollar," 100,000 ",55
EUR,USD,EURUSD,Euro vs Dollar," 100,000 ",59
GBP,AUD,GBPAUD,Pound vs Australian dollar," 100,000 ",63
GBP,CAD,GBPCAD,Pound vs Canadian dollar," 100,000 ",67
GBP,CHF,GBPCHF,Pound vs Swiss franc," 100,000 ",71
GBP,JPY,GBPJPY,Pound vs Japanese Yen," 1,000 ",75
GBP,NZD,GBPNZD,Pound vs New Zealand dollar," 100,000 ",79
GBP,USD,GBPUSD,Pound vs Dollar," 100,000 ",83
NZD,CAD,NZDCAD,New Zealand dollar vs Canadian dollar," 100,000 ",87
NZD,CHF,NZDCHF,New Zealand dollar vs Swiss franc," 100,000 ",91
NZD,JPY,NZDJPY,New Zealand dollar vs Japanese Yen," 1,000 ",95
NZD,USD,NZDUSD,New Zealand dollar vs Dollar," 100,000 ",99
USD,CAD,USDCAD,Dollar vs Canadian dollar," 100,000 ",103
USD,CHF,USDCHF,Dollar vs Swiss franc," 100,000 ",107
USD,JPY,USDJPY,Dollar vs Japanese Yen," 1,000 ",111
