iter	Logloss
0	0.6826894272
1	0.6738320903
2	0.666060542
3	0.658940209
4	0.6531226209
5	0.6481340684
6	0.6429893058
7	0.6393929179
8	0.6355786237
9	0.6323779166
10	0.6294851407
11	0.626783933
12	0.6246589925
13	0.6226963345
14	0.6208871603
15	0.6199977305
16	0.6186515824
17	0.6175374273
18	0.616481662
19	0.6157009392
20	0.6145095707
21	0.6138090021
22	0.6128065843
23	0.6121485711
24	0.6113515738
25	0.6105625051
26	0.6102616204
27	0.6092841337
28	0.6085644762
29	0.608113847
30	0.6078970287
31	0.6073345688
32	0.6068843829
33	0.6062600539
34	0.6058428566
35	0.6056385801
36	0.6050639233
37	0.6047089727
38	0.6043862712
39	0.6039480771
40	0.6034388155
41	0.6031682504
42	0.6028240119
43	0.6023769555
44	0.6021046221
45	0.6017714222
46	0.6012131093
47	0.600905778
48	0.6007381918
49	0.6004603817
50	0.6002484144
51	0.6000482556
52	0.5997414169
53	0.5996275471
54	0.5993025189
55	0.5987843996
56	0.5985346429
57	0.5982931814
58	0.5980401549
59	0.597718083
60	0.5974608017
61	0.5972180306
62	0.5970048052
63	0.59676083
64	0.5965562195
65	0.5963527256
66	0.5961330198
67	0.5960542836
68	0.5958808468
69	0.595705515
70	0.59549758
71	0.5953564263
72	0.5949895439
73	0.5948040144
74	0.5946612604
75	0.5945376173
76	0.594303519
77	0.5941972775
78	0.5938957027
79	0.5936487299
80	0.593466816
81	0.593270591
82	0.5931012198
83	0.5929293743
84	0.5927282757
85	0.5925414879
86	0.5922602096
87	0.5920336159
88	0.5918305916
89	0.5916021426
90	0.5913890252
91	0.5912069096
92	0.5910178342
93	0.5908861827
94	0.5907650492
95	0.5905912491
96	0.5904176445
97	0.5902269292
98	0.5901024642
99	0.5899938436
100	0.5898367859
101	0.5896371139
102	0.5894585182
103	0.589384634
104	0.5892782996
105	0.5889959899
106	0.5888685882
107	0.5886983683
108	0.5885785127
109	0.5884596912
110	0.5882784961
111	0.5881435606
112	0.5879176577
113	0.5878171848
114	0.5876078874
115	0.5874673603
116	0.5872340962
117	0.5870920998
118	0.5869280398
119	0.5866765519
120	0.5865790106
121	0.5864056003
122	0.5861997594
123	0.5860176088
124	0.585826495
125	0.5856197339
126	0.5855061185
127	0.5852643388
128	0.5851005876
129	0.5848720473
130	0.5845988892
131	0.5844318421
132	0.5842301088
133	0.5840660908
134	0.5839157258
135	0.5836540565
136	0.5833082089
137	0.5831209806
138	0.5829139152
139	0.5827453424
140	0.5824950843
141	0.5823025676
142	0.5821824317
143	0.5819578899
144	0.5818073899
145	0.5815997496
146	0.5814120052
147	0.5812256748
148	0.5809144253
149	0.5806674547
150	0.5805188478
151	0.5803354358
152	0.5800641952
153	0.5799642374
154	0.5796998149
155	0.5795420748
156	0.5793480066
157	0.5790857567
158	0.5789342911
159	0.5786191481
