iter	Passed	Remaining
0	8	4373
1	16	4153
2	23	3954
3	32	4001
4	39	3907
5	47	3881
6	53	3800
7	60	3742
8	68	3724
9	75	3675
10	81	3619
11	88	3607
12	95	3578
13	102	3561
14	109	3549
15	116	3538
16	124	3536
17	131	3521
18	138	3508
19	145	3488
20	153	3490
21	160	3486
22	168	3486
23	175	3481
24	183	3491
25	191	3482
26	199	3487
27	206	3483
28	214	3476
29	221	3466
30	228	3458
31	235	3447
32	242	3434
33	249	3422
34	257	3427
35	265	3427
36	274	3429
37	280	3413
38	289	3427
39	297	3425
40	305	3419
41	312	3410
42	320	3401
43	327	3391
44	334	3379
45	341	3370
46	348	3363
47	356	3353
48	363	3344
49	370	3337
50	379	3342
51	386	3326
52	393	3317
53	400	3309
54	408	3303
55	415	3295
56	423	3289
57	430	3281
58	438	3276
59	445	3266
60	452	3258
61	459	3246
62	467	3240
63	474	3235
64	482	3228
65	489	3221
66	497	3212
67	504	3206
68	512	3203
69	520	3195
70	527	3185
71	534	3178
72	542	3173
73	549	3165
74	557	3156
75	563	3145
76	571	3138
77	578	3129
78	585	3121
79	592	3112
80	600	3104
81	607	3096
82	614	3088
83	623	3088
84	630	3079
85	638	3071
86	645	3063
87	653	3057
88	660	3049
89	668	3045
90	676	3038
91	683	3032
92	690	3023
93	698	3015
94	705	3006
95	713	3001
96	721	2996
97	728	2989
98	736	2982
99	743	2974
100	751	2967
101	758	2960
102	766	2953
103	773	2945
104	780	2937
105	788	2930
106	796	2923
107	803	2916
108	810	2907
109	817	2899
110	824	2890
111	832	2882
112	839	2874
113	846	2864
114	853	2856
115	860	2848
116	868	2842
117	875	2834
118	883	2827
119	890	2818
120	897	2810
121	904	2802
122	911	2795
123	919	2787
124	926	2780
125	934	2773
126	941	2765
127	948	2756
128	955	2748
129	962	2740
130	970	2732
131	977	2723
132	984	2716
133	991	2707
134	998	2700
135	1006	2692
136	1013	2685
137	1020	2677
138	1028	2669
139	1036	2664
140	1044	2660
141	1052	2653
142	1060	2647
143	1068	2640
144	1075	2633
145	1083	2626
146	1091	2620
147	1098	2613
148	1106	2606
149	1113	2599
150	1121	2592
151	1130	2588
152	1138	2581
153	1145	2573
154	1154	2569
155	1165	2570
156	1174	2566
157	1182	2559
158	1190	2553
159	1198	2546
160	1206	2539
161	1213	2532
162	1222	2526
163	1230	2521
164	1238	2515
165	1247	2509
166	1254	2501
167	1262	2494
168	1270	2487
169	1278	2481
170	1285	2473
171	1293	2466
172	1301	2459
173	1309	2453
174	1317	2446
175	1325	2439
176	1333	2433
177	1341	2426
178	1348	2418
179	1357	2412
180	1365	2406
181	1375	2403
182	1383	2396
183	1391	2389
184	1399	2382
185	1407	2375
186	1415	2369
187	1423	2363
188	1431	2355
189	1439	2347
190	1446	2340
191	1454	2333
192	1462	2325
193	1469	2318
194	1477	2311
195	1485	2303
196	1493	2296
197	1501	2289
198	1508	2282
199	1516	2275
200	1524	2268
201	1532	2261
202	1540	2253
203	1547	2246
204	1555	2238
205	1562	2230
206	1570	2223
207	1578	2215
208	1586	2208
209	1593	2201
210	1602	2194
211	1609	2186
212	1617	2179
213	1626	2173
214	1635	2167
215	1643	2160
216	1651	2153
217	1659	2146
218	1666	2138
219	1674	2130
220	1681	2123
221	1689	2116
222	1697	2108
223	1705	2101
224	1712	2092
225	1720	2085
226	1728	2078
227	1736	2072
228	1744	2064
229	1753	2058
230	1761	2050
231	1769	2044
232	1777	2037
233	1785	2030
234	1794	2023
235	1803	2017
236	1811	2010
237	1818	2002
238	1825	1994
239	1833	1986
240	1840	1978
241	1848	1970
242	1855	1962
243	1862	1954
244	1870	1946
245	1878	1939
246	1886	1931
247	1893	1923
248	1900	1915
249	1907	1907
250	1915	1899
251	1922	1891
252	1929	1883
253	1936	1875
254	1943	1867
255	1950	1859
256	1957	1850
257	1964	1842
258	1971	1834
259	1978	1826
260	1985	1818
261	1992	1809
262	1999	1801
263	2006	1793
264	2014	1786
265	2021	1778
266	2029	1771
267	2037	1763
268	2044	1755
269	2051	1747
270	2059	1740
271	2066	1732
272	2074	1724
273	2081	1717
274	2088	1708
275	2095	1700
276	2103	1693
277	2110	1684
278	2117	1677
279	2124	1669
280	2131	1661
281	2138	1653
282	2146	1645
283	2153	1637
284	2160	1630
285	2167	1621
286	2174	1614
287	2182	1606
288	2189	1598
289	2196	1590
290	2204	1583
291	2212	1576
292	2219	1568
293	2228	1561
294	2235	1553
295	2242	1545
296	2249	1537
297	2257	1530
298	2264	1522
299	2271	1514
300	2278	1506
301	2286	1499
302	2295	1492
303	2302	1484
304	2310	1477
305	2317	1469
306	2325	1461
307	2333	1454
308	2341	1447
309	2348	1439
310	2355	1431
311	2362	1423
312	2372	1417
313	2379	1409
314	2386	1401
315	2393	1393
316	2400	1385
317	2408	1378
318	2415	1370
319	2423	1363
320	2431	1355
321	2438	1348
322	2445	1340
323	2452	1332
324	2460	1324
325	2467	1317
326	2474	1309
327	2481	1301
328	2489	1293
329	2496	1285
330	2503	1278
331	2510	1270
332	2517	1262
333	2524	1254
334	2532	1247
335	2539	1239
336	2546	1231
337	2553	1224
338	2560	1216
339	2568	1208
340	2575	1200
341	2582	1193
342	2590	1185
343	2597	1177
344	2605	1170
345	2612	1162
346	2619	1155
347	2627	1147
348	2635	1140
349	2643	1132
350	2650	1124
351	2657	1117
352	2664	1109
353	2671	1101
354	2678	1094
355	2685	1086
356	2692	1078
357	2699	1070
358	2708	1063
359	2716	1056
360	2723	1048
361	2730	1041
362	2738	1033
363	2746	1026
364	2753	1018
365	2760	1010
366	2767	1003
367	2775	995
368	2782	987
369	2789	980
370	2797	972
371	2805	965
372	2813	958
373	2822	950
374	2831	943
375	2839	936
376	2847	929
377	2855	921
378	2863	914
379	2871	906
380	2879	899
381	2886	891
382	2894	884
383	2901	876
384	2909	869
385	2916	861
386	2924	853
387	2932	846
388	2939	838
389	2947	831
390	2955	823
391	2962	816
392	2971	808
393	2978	801
394	2986	793
395	2994	786
396	3001	778
397	3009	771
398	3019	764
399	3026	756
400	3034	749
401	3042	741
402	3050	734
403	3058	726
404	3066	719
405	3073	711
406	3081	704
407	3089	696
408	3096	689
409	3104	681
410	3112	673
411	3120	666
412	3127	658
413	3135	651
414	3143	643
415	3150	636
416	3158	628
417	3166	621
418	3173	613
419	3181	605
420	3188	598
421	3196	590
422	3204	583
423	3212	575
424	3220	568
425	3228	560
426	3236	553
427	3244	545
428	3252	538
429	3260	530
430	3268	523
431	3275	515
432	3283	508
433	3291	500
434	3298	492
435	3306	485
436	3314	477
437	3323	470
438	3331	462
439	3340	455
440	3348	447
441	3356	440
442	3365	432
443	3372	425
444	3380	417
445	3388	410
446	3396	402
447	3404	395
448	3412	387
449	3420	380
450	3427	372
451	3435	364
452	3442	357
453	3450	349
454	3458	342
455	3466	334
456	3474	326
457	3481	319
458	3489	311
459	3498	304
460	3506	296
461	3514	289
462	3526	281
463	3534	274
464	3542	266
465	3551	259
466	3559	251
467	3567	243
468	3574	236
469	3581	228
470	3589	220
471	3597	213
472	3604	205
473	3612	198
474	3621	190
475	3651	184
476	3671	177
477	3685	169
478	3693	161
479	3702	154
480	3710	146
481	3718	138
482	3726	131
483	3735	123
484	3743	115
485	3751	108
486	3760	100
487	3769	92
488	3777	84
489	3785	77
490	3793	69
491	3801	61
492	3809	54
493	3818	46
494	3826	38
495	3835	30
496	3843	23
497	3851	15
498	3859	7
499	3868	0
