Datetime,Open_EURUSD,High_EURUSD,Low_EURUSD,Close_EURUSD,Volume_EURUSD
2021-07-29 00:00:00.000,1.18451,1.18462,1.184,1.18428,1275
2021-07-29 01:00:00.000,1.1843,1.18493,1.1841,1.18489,2461
2021-07-29 02:00:00.000,1.18487,1.1857,1.18457,1.18539,2649
2021-07-29 03:00:00.000,1.1854,1.18574,1.18503,1.18537,1601
2021-07-29 04:00:00.000,1.18536,1.18582,1.18528,1.18557,797
2021-07-29 05:00:00.000,1.18558,1.18593,1.1854,1.18549,1320
2021-07-29 06:00:00.000,1.1855,1.18631,1.18496,1.18517,4764
2021-07-29 07:00:00.000,1.18518,1.18693,1.18512,1.18678,5505
2021-07-29 08:00:00.000,1.18678,1.18791,1.1864,1.1876,5108
2021-07-29 09:00:00.000,1.18758,1.18773,1.18688,1.18737,3719
2021-07-29 10:00:00.000,1.18736,1.18795,1.18717,1.18746,3245
2021-07-29 11:00:00.000,1.18747,1.18763,1.18693,1.18708,3359
2021-07-29 12:00:00.000,1.18706,1.18845,1.18703,1.18836,6857
2021-07-29 13:00:00.000,1.18834,1.18845,1.18752,1.18839,6764
2021-07-29 14:00:00.000,1.18841,1.18887,1.18764,1.18851,6895
2021-07-29 15:00:00.000,1.18852,1.18904,1.1881,1.18851,4552
2021-07-29 16:00:00.000,1.18852,1.18854,1.18778,1.18841,2454
2021-07-29 17:00:00.000,1.1884,1.18872,1.18793,1.18865,2244
2021-07-29 18:00:00.000,1.18863,1.18908,1.18852,1.18908,1742
2021-07-29 19:00:00.000,1.18907,1.18922,1.18866,1.18874,2065
2021-07-29 20:00:00.000,1.18875,1.18882,1.18841,1.18861,1290
2021-07-29 21:00:00.000,1.18867,1.18875,1.18773,1.18841,103
2021-07-29 22:00:00.000,1.18833,1.18903,1.18816,1.18898,376
2021-07-29 23:00:00.000,1.189,1.18937,1.18889,1.18897,506
2021-07-30 00:00:00.000,1.18896,1.18912,1.18805,1.18808,2237
2021-07-30 01:00:00.000,1.18809,1.18838,1.18786,1.18816,1653
2021-07-30 02:00:00.000,1.18818,1.18839,1.1878,1.18802,1773
2021-07-30 03:00:00.000,1.188,1.18826,1.18768,1.18778,1255
2021-07-30 04:00:00.000,1.18777,1.18807,1.18768,1.18778,688
2021-07-30 05:00:00.000,1.18777,1.18792,1.18746,1.18778,1304
2021-07-30 06:00:00.000,1.1878,1.18853,1.18743,1.18851,3211
2021-07-30 07:00:00.000,1.18849,1.1895,1.18836,1.18948,4403
2021-07-30 08:00:00.000,1.18947,1.19068,1.18923,1.1906,3502
2021-07-30 09:00:00.000,1.1906,1.19082,1.18951,1.18964,3944
2021-07-30 10:00:00.000,1.18965,1.19025,1.18837,1.19005,5280
2021-07-30 11:00:00.000,1.19004,1.19042,1.18816,1.18829,5625
2021-07-30 12:00:00.000,1.1883,1.18964,1.18768,1.18786,5175
2021-07-30 13:00:00.000,1.18787,1.18859,1.18743,1.18775,7046
2021-07-30 14:00:00.000,1.18772,1.18821,1.18509,1.18584,11124
2021-07-30 15:00:00.000,1.18581,1.18651,1.18546,1.18635,6823
2021-07-30 16:00:00.000,1.18633,1.18633,1.1858,1.18584,3198
2021-07-30 17:00:00.000,1.18585,1.18622,1.18548,1.18607,2657
2021-07-30 18:00:00.000,1.18608,1.18622,1.18531,1.18555,2668
2021-07-30 19:00:00.000,1.18554,1.18635,1.18541,1.18615,2221
2021-07-30 20:00:00.000,1.18614,1.18759,1.18598,1.18659,1837
2021-08-01 21:00:00.000,1.18573,1.18652,1.18573,1.18621,47
2021-08-01 21:00:00.000,1.18573,1.18652,1.18573,1.18621,47
2021-08-01 21:00:00.000,1.18573,1.18652,1.18573,1.18621,47
2021-08-01 21:00:00.000,1.18573,1.18652,1.18573,1.18621,47
2021-08-01 21:00:00.000,1.18573,1.18652,1.18573,1.18621,47
2021-08-01 21:00:00.000,1.18573,1.18652,1.18573,1.18621,47
2021-08-01 21:00:00.000,1.18573,1.18652,1.18573,1.18621,47
2021-08-01 22:00:00.000,1.18631,1.18688,1.18595,1.18675,381
