Pair,Currency1,Currency2,TradingView_URL
AUD_CAD,AUD,CAD,https://www.tradingview.com/chart/?symbol=OANDA:AUDCAD
AUD_CHF,AUD,CHF,https://www.tradingview.com/chart/?symbol=OANDA:AUDCHF
AUD_JPY,AUD,JPY,https://www.tradingview.com/chart/?symbol=OANDA:AUDJPY
AUD_NZD,AUD,NZD,https://www.tradingview.com/chart/?symbol=OANDA:AUDNZD
AUD_USD,AUD,USD,https://www.tradingview.com/chart/?symbol=OANDA:AUDUSD
CAD_CHF,CAD,CHF,https://www.tradingview.com/chart/?symbol=OANDA:CADCHF
CAD_JPY,CAD,JPY,https://www.tradingview.com/chart/?symbol=OANDA:CADJPY
CHF_JPY,CHF,JPY,https://www.tradingview.com/chart/?symbol=OANDA:CHFJPY
EUR_AUD,EUR,AUD,https://www.tradingview.com/chart/?symbol=OANDA:EURAUD
EUR_CAD,EUR,CAD,https://www.tradingview.com/chart/?symbol=OANDA:EURCAD
EUR_CHF,EUR,CHF,https://www.tradingview.com/chart/?symbol=OANDA:EURCHF
EUR_GBP,EUR,GBP,https://www.tradingview.com/chart/?symbol=OANDA:EURGBP
EUR_JPY,EUR,JPY,https://www.tradingview.com/chart/?symbol=OANDA:EURJPY
EUR_NZD,EUR,NZD,https://www.tradingview.com/chart/?symbol=OANDA:EURNZD
EUR_USD,EUR,USD,https://www.tradingview.com/chart/?symbol=OANDA:EURUSD
GBP_AUD,GBP,AUD,https://www.tradingview.com/chart/?symbol=OANDA:GBPAUD
GBP_CAD,GBP,CAD,https://www.tradingview.com/chart/?symbol=OANDA:GBPCAD
GBP_CHF,GBP,CHF,https://www.tradingview.com/chart/?symbol=OANDA:GBPCHF
GBP_JPY,GBP,JPY,https://www.tradingview.com/chart/?symbol=OANDA:GBPJPY
GBP_NZD,GBP,NZD,https://www.tradingview.com/chart/?symbol=OANDA:GBPNZD
GBP_USD,GBP,USD,https://www.tradingview.com/chart/?symbol=OANDA:GBPUSD
NZD_CAD,NZD,CAD,https://www.tradingview.com/chart/?symbol=OANDA:NZDCAD
NZD_CHF,NZD,CHF,https://www.tradingview.com/chart/?symbol=OANDA:NZDCHF
NZD_JPY,NZD,JPY,https://www.tradingview.com/chart/?symbol=OANDA:NZDJPY
NZD_USD,NZD,USD,https://www.tradingview.com/chart/?symbol=OANDA:NZDUSD
USD_CAD,USD,CAD,https://www.tradingview.com/chart/?symbol=OANDA:USDCAD
USD_CHF,USD,CHF,https://www.tradingview.com/chart/?symbol=OANDA:USDCHF
USD_JPY,USD,JPY,https://www.tradingview.com/chart/?symbol=OANDA:USDJPY
